127.0.0.1 - - [11/Mar/2021:00:41:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Mar/2021:00:41:49 +0900] "GET /Grass_Farm/Index.jsp HTTP/1.1" 200 5169
0:0:0:0:0:0:0:1 - - [11/Mar/2021:00:41:49 +0900] "GET /Grass_Farm/js/highlight.pack.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [11/Mar/2021:00:41:49 +0900] "GET /Grass_Farm/js/highlight.pack.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [11/Mar/2021:00:41:49 +0900] "GET /Grass_Farm/img/grass_removebg_preview_wIP_icon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [11/Mar/2021:00:41:52 +0900] "GET /Grass_Farm/Join.jsp HTTP/1.1" 200 5882
0:0:0:0:0:0:0:1 - - [11/Mar/2021:00:42:01 +0900] "GET /Grass_Farm/Login.jsp HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [11/Mar/2021:00:42:07 +0900] "POST /Grass_Farm/LoginAction.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [11/Mar/2021:00:42:07 +0900] "GET /Grass_Farm/Index.jsp HTTP/1.1" 200 10171
0:0:0:0:0:0:0:1 - - [11/Mar/2021:00:42:07 +0900] "GET /Grass_Farm/js/highlight.pack.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [11/Mar/2021:00:42:08 +0900] "GET /Grass_Farm/js/highlight.pack.js HTTP/1.1" 404 846
