127.0.0.1 - - [16/Nov/2020:13:56:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Nov/2020:13:56:17 +0900] "GET /Grass_Farm/Repo.jsp HTTP/1.1" 200 2792
0:0:0:0:0:0:0:1 - - [16/Nov/2020:13:56:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Nov/2020:13:56:20 +0900] "GET /Grass_Farm/Login.jsp HTTP/1.1" 200 2586
0:0:0:0:0:0:0:1 - - [16/Nov/2020:13:56:20 +0900] "GET /Grass_Farm/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [16/Nov/2020:13:56:29 +0900] "POST /Grass_Farm/LoginAction.jsp HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [16/Nov/2020:13:56:29 +0900] "GET /Grass_Farm/Main.jsp HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [16/Nov/2020:13:56:29 +0900] "GET /Grass_Farm/js/bootstrap.js HTTP/1.1" 200 66732
0:0:0:0:0:0:0:1 - - [16/Nov/2020:13:56:29 +0900] "GET /Grass_Farm/js/highlight.pack.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/Nov/2020:13:56:29 +0900] "GET /Grass_Farm/js/highlight.pack.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/Nov/2020:13:56:31 +0900] "GET /Grass_Farm/Repo.jsp HTTP/1.1" 200 4756
0:0:0:0:0:0:0:1 - - [16/Nov/2020:13:56:33 +0900] "POST /Grass_Farm/Modify.jsp HTTP/1.1" 200 3501
0:0:0:0:0:0:0:1 - - [16/Nov/2020:13:56:33 +0900] "GET /Grass_Farm/css/bootstrap.css HTTP/1.1" 200 141414
0:0:0:0:0:0:0:1 - - [16/Nov/2020:13:56:33 +0900] "GET /Grass_Farm/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
