127.0.0.1 - - [06/Oct/2020:21:43:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Oct/2020:21:43:37 +0900] "GET /Grass_Farm/test.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [06/Oct/2020:21:43:37 +0900] "GET /packages/daygrid/main.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [06/Oct/2020:21:43:37 +0900] "GET /packages/interaction/main.js HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [06/Oct/2020:21:43:37 +0900] "GET /packages/core/main.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Oct/2020:21:43:37 +0900] "GET /packages/daygrid/main.js HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [06/Oct/2020:21:43:37 +0900] "GET /packages/core/main.js HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [06/Oct/2020:21:43:37 +0900] "GET /packages/interaction/main.js HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [06/Oct/2020:21:43:37 +0900] "GET /packages/daygrid/main.js HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [06/Oct/2020:21:43:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Oct/2020:21:44:31 +0900] "GET /Grass_Farm/test.jsp HTTP/1.1" 200 2610
0:0:0:0:0:0:0:1 - - [06/Oct/2020:21:44:31 +0900] "GET /Grass_Farm/packages/daygrid/main.js HTTP/1.1" 200 81999
0:0:0:0:0:0:0:1 - - [06/Oct/2020:21:44:31 +0900] "GET /Grass_Farm/packages/core/main.js HTTP/1.1" 200 373202
0:0:0:0:0:0:0:1 - - [06/Oct/2020:21:44:31 +0900] "GET /Grass_Farm/packages/core/main.css HTTP/1.1" 200 27362
0:0:0:0:0:0:0:1 - - [06/Oct/2020:21:44:31 +0900] "GET /Grass_Farm/packages/interaction/main.js HTTP/1.1" 200 103157
0:0:0:0:0:0:0:1 - - [06/Oct/2020:21:44:31 +0900] "GET /Grass_Farm/packages/daygrid/main.css HTTP/1.1" 200 1806
0:0:0:0:0:0:0:1 - - [06/Oct/2020:21:44:59 +0900] "GET /Grass_Farm/test.jsp HTTP/1.1" 200 2633
0:0:0:0:0:0:0:1 - - [06/Oct/2020:21:44:59 +0900] "GET /Grass_Farm/packages/daygrid/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2020:21:44:59 +0900] "GET /Grass_Farm/packages/core/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2020:21:44:59 +0900] "GET /Grass_Farm/packages/interaction/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2020:21:44:59 +0900] "GET /Grass_Farm/packages/core/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2020:21:44:59 +0900] "GET /Grass_Farm/packages/daygrid/main.js HTTP/1.1" 304 -
